symbol,current_price,predicted_price,predicted_return_pct,confidence,recommendation,risk_level,pe_ratio,dividend_yield,news_sentiment,analysis_time,composite_score
AVGO,349.39,362.8781355853959,3.860481291793103,0.7680894789210337,BUY,LOW,74.02331,0.74,0.15184030695247214,2.6895179748535156,0.029651950637977636
CDW,138.61,141.36527128173242,1.9877867987392,0.7348900772065448,BUY,LOW,17.657326,1.8,0.14058154962321628,2.4974710941314697,0.01460804793995601
SWKS,64.02,65.2484030564912,1.9187801569684522,0.7353101047313879,BUY,MEDIUM,20.85342,4.42,0.11451705547538879,2.535912036895752,0.014108984381769815
ZTS,125.98,127.60462167106111,1.2895869749651583,0.7205717268306785,BUY,LOW,21.24452,1.68,0.11072685550230192,2.3195960521698,0.00929239913448995
COST,867.84,876.5638066960175,1.0052321506288606,0.7830297932351828,BUY,LOW,46.733444,0.6,0.15927224887381136,2.623105049133301,0.007871267230602748
ANET,134.15,135.38790680555388,0.922778088374116,0.7098227043455291,BUY,LOW,50.243443,0.0,0.10308584820712798,2.4347140789031982,0.006550088382005127
NKE,61.21,61.740187835694655,0.8661784605369295,0.6846973008033473,HOLD,MEDIUM,35.587208,2.69,0.07825169853294853,2.8829360008239746,0.005930700539436343
TSLA,459.64,463.33108083114524,0.8030373403414102,0.7377412995147721,HOLD,LOW,323.69016,0.0,0.11347534123036356,2.550348997116089,0.005924338110223582
CMCSA,29.87,30.069033567704356,0.6663326672392188,0.7924591306589789,BUY,MEDIUM,4.9290433,4.45,0.12117252698112076,2.9817309379577637,0.0052804140621007
PEP,144.24,145.46803844429587,0.8513854993731711,0.6071159947586389,HOLD,LOW,27.318182,3.96,0.09207386363636363,2.3296477794647217,0.005168897543750233
PSA,259.32,261.17965923375385,0.7171291199112523,0.6630808334064843,HOLD,LOW,27.09718,4.6,0.1122778642075517,2.2832069396972656,0.0047551457449081175
BMY,54.11,54.398278738176316,0.5327642546226512,0.6510716488231979,BUY,LOW,18.404762,4.61,0.1755441422003922,2.35048508644104,0.0034686770169123156
QRVO,85.46,85.80598454798988,0.40484969341198923,0.8080736307949621,HOLD,MEDIUM,37.31878,0.0,0.17735611796437692,2.9825150966644287,0.003271483616816534
MO,57.62,57.86975993467352,0.4334604905822978,0.6309060085674794,BUY,LOW,10.996183,7.36,0.2081966259600188,2.1756579875946045,0.0027347282798497897
REGN,780.5,783.3576630057377,0.3661323517921413,0.7357681381859563,BUY,LOW,18.83446,0.45,0.10491564454064455,2.712158203125,0.0026938851880774937
SNPS,478.97,480.8954970551617,0.4020078616952328,0.6039112704749864,BUY,LOW,59.20519,0.0,0.13025458453583455,2.3405308723449707,0.0024277707849730064
ACN,271.34,272.26110858228725,0.33946656677499626,0.6648065879381931,BUY,LOW,22.424793,2.41,0.1040738223003848,2.279860019683838,0.0022567960997677806
LIN,426.54,427.96913424651586,0.3350528078294752,0.6419466564481996,BUY,LOW,28.417055,1.41,0.10646309940059939,2.3558731079101562,0.0021508602971971277
VZ,40.48,40.6155532636407,0.33486478172110173,0.6291022451139893,HOLD,LOW,8.63113,6.82,0.11553596455627706,2.149397850036621,0.0021066418599035106
ADP,259.61,260.41725628742216,0.3109496118878891,0.6685478629207176,BUY,LOW,25.57734,2.63,0.12666612178330927,2.2898740768432617,0.002078846985036748
DHR,230.63,231.21217612607668,0.25242861990057197,0.7193343550495206,BUY,LOW,47.357292,0.56,0.1514366095114201,2.4930338859558105,0.0018158057849221852
AMZN,232.07,232.63568560164023,0.24375645350120226,0.7274897162005818,BUY,LOW,32.917732,0.0,0.10654415584415583,2.436244010925293,0.0017733031317964994
ELV,348.38,349.1841888691297,0.23083669244207158,0.7210766654053897,BUY,LOW,14.266175,1.95,0.11685514909473241,2.370940923690796,0.001664509524393385
AXP,375.32,376.2865407630376,0.25752444927997054,0.6028223559185877,BUY,LOW,25.566757,0.86,0.09430114387926887,2.3762502670288086,0.0015524149522158867
MDT,96.15,96.34479253438967,0.20259233945882768,0.7358987699807695,HOLD,LOW,26.19891,2.94,0.1427338385269933,2.721773862838745,0.001490874534152778
APH,136.9,137.18282256360422,0.20659062352389587,0.7036194532212199,BUY,LOW,45.939594,0.73,0.12891651464591805,2.346482038497925,0.001453611815645145
LOW,243.83,244.22713316311084,0.16287297014757118,0.6942561214391051,SELL,LOW,20.234854,1.96,0.17514517366451887,2.46825909614563,0.001130755565419199
WMT,112.53,112.6381165865251,0.09607801166364478,0.6938130252227772,SELL,LOW,39.072914,0.84,0.13934582145147623,2.4352829456329346,0.0006666017592974266
COP,92.63,92.72598835455125,0.10362555818984405,0.6303717241162358,SELL,LOW,12.937151,3.67,0.19197593692682977,2.478456974029541,0.000653226217786393
AAPL,273.76,274.01097187781784,0.0916758758831994,0.659792006716301,SELL,LOW,36.647926,0.38,0.10038212163993414,3.0643808841705322,0.0006048701011645069
UNH,328.94,329.2199290752358,0.08510034511942222,0.6646425992165321,SELL,LOW,17.303524,2.66,0.11867599561633653,2.461871862411499,0.0005656131457439671
JPM,323.75,323.9081274174013,0.04884244552936446,0.6739698229401738,BUY,LOW,16.236208,1.83,0.07201564184823114,2.3929481506347656,0.0003291833436539085
EQIX,765.0,765.3649516869867,0.04770610287408215,0.6515613964989968,BUY,LOW,69.92688,2.46,0.12380881734006732,2.4414870738983154,0.0003108345501016177
APH,136.9,136.94939023105883,0.036077597559402895,0.703613549505998,BUY,LOW,45.939594,0.73,0.12891651464591805,2.1993460655212402,0.000253846864764204
FTNT,80.82,80.8107262919251,-0.011474521250787113,0.6535463048071496,SELL,MEDIUM,33.535267,0.0,0.09937186920222633,2.4770400524139404,-7.49913096288303e-05
ADBE,353.16,353.1204472468806,-0.011199669588695636,0.7821780579878216,BUY,LOW,21.185364,0.0,0.137551628203972,2.67034912109375,-8.760135808991216e-05
TJX,156.47,156.41558919628355,-0.03477395265319268,0.6613916199109133,BUY,LOW,34.69401,1.08,0.06031297100716744,2.232409954071045,-0.00022999200876000508
HON,197.09,196.99908719105034,-0.0461275604798151,0.6404491095667403,BUY,LOW,20.834038,2.32,0.21681862927236306,2.4528932571411133,-0.00029542355035783543
GS,892.18,891.6858825165259,-0.05538316073819659,0.6602847102036331,BUY,LOW,18.414448,1.76,0.11059040554353054,2.1230220794677734,-0.0003656865423818136
ICE,163.98,163.71246023994425,-0.1631538968506771,0.675472213525106,BUY,LOW,29.760433,1.17,0.10296018217893219,2.2904000282287598,-0.001102059238509737
BKNG,5441.33,5432.363531761776,-0.1647844964048049,0.7359995045830224,BUY,LOW,35.459957,0.71,0.12005205519788854,2.884369134902954,-0.0012128130771689924
CSCO,77.79,77.62541487057173,-0.2115762044327998,0.6878473461882318,SELL,LOW,30.268484,2.1,0.17140215279649804,2.7668490409851074,-0.0014553213073568016
V,354.61,353.8116668025804,-0.2251299166463424,0.6506903488305769,HOLD,LOW,34.833984,0.75,0.15202848424723422,1.7231249809265137,-0.0014648986399480722
SHW,325.23,324.44679216074974,-0.24081660340383138,0.7187096334693702,SELL,LOW,31.760744,0.97,0.1475511728030667,2.594449996948242,-0.0017307721276570633
HD,347.45,346.48571635946286,-0.27753162772690537,0.6611499361568066,SELL,LOW,23.863325,2.63,0.16128149254995847,2.0674612522125244,-0.001834900179531381
SBUX,85.57,85.32179412654621,-0.29006178970875823,0.7258844734045198,HOLD,LOW,52.17683,2.91,0.136291698656282,2.605808973312378,-0.002105513494775145
DIS,114.19,113.78080448026512,-0.3583461947060859,0.6936275211212171,BUY,LOW,16.573296,1.32,0.14464284211159212,2.472939968109131,-0.0024855878273720338
PLD,128.48,127.98138919569458,-0.38808437445938243,0.6639233798006908,HOLD,LOW,37.457726,3.14,0.1327470995439745,2.4243509769439697,-0.0025765828953891005
OLED,119.24,118.80459146514282,-0.3651530818996766,0.7473011922492981,BUY,LOW,25.753778,1.51,0.15691835896411788,2.5783371925354004,-0.0027287933345713396
OLED,119.24,118.80459146514282,-0.3651530818996766,0.7473011922492981,BUY,LOW,25.753778,1.51,0.15691835896411788,2.3952388763427734,-0.0027287933345713396
RTX,184.42,183.60638757078087,-0.44117364126402775,0.6791217043690128,HOLD,LOW,38.024742,1.47,0.1273146902700474,2.4367270469665527,-0.0029961059517790993
MA,577.9,575.3395705715394,-0.4430575235266596,0.7014789306030124,HOLD,LOW,37.044872,0.6,0.12029451133357383,2.1146562099456787,-0.003107955177991002
NVDA,188.22,187.40956317169363,-0.4305795496261635,0.7245580384215664,BUY,LOW,47.17293,0.02,0.1351202426046176,2.6076579093933105,-0.0031197987386157454
MRK,106.62,106.16359314723334,-0.4280687045269762,0.7316891357694797,HOLD,LOW,14.121855,3.18,0.11415475188391856,2.559995174407959,-0.00313213220465304
TMO,585.07,582.4329772659444,-0.45071918472245653,0.7405797418201875,BUY,LOW,33.547592,0.3,0.17975859634192967,4.337127923965454,-0.0033379349745516224
GOOGL,313.56,312.1151665399137,-0.46078372881946966,0.7280621218048382,HOLD,LOW,30.953602,0.27,0.15583156636132825,2.673819065093994,-0.0033547917929744823
DE,470.24,467.8047057650027,-0.517883258548249,0.6687865720313328,SELL,LOW,25.322563,1.38,0.12555248166185667,2.1656551361083984,-0.003463533691968999
MCHP,64.65,64.31550658432491,-0.5173912075407548,0.6726476714279837,SELL,MEDIUM,25.929388,2.8,0.14122208830731559,2.496143102645874,-0.0034802199096960135
XOM,120.53,119.89717468824604,-0.5250355195834744,0.6713902435748142,BUY,LOW,17.292683,3.46,0.20819662596001884,2.5115931034088135,-0.0035250372537857805
